Issue,Indicator,Measures,Factors,TOC,Plus,Minus,References,Kid Approved,Ethics - Privacy,Ethics - Confrontational,Ethics - Indirect,Pragmatic - Platform-based,Pragmatic - Analysis,Pragmatic - Low quality
Online Grooming,Grooming Scale,"The Grooming Scale is composed of 13 items that are scored on a 4-point Likert scale from 1 (never or nothing) to 4 (always or a lot). The scale assesses situations of exhibitionism by personal desire or at the request of adults, and explicit grooming behaviors (e.g. “Have you had conversations over webcam with you or the other person being in underwear?”). ",grooming-prevalence,,Well understood Likert style self-reporting measure,"Same weaknesses as other self-reporting measures in terms of honest answers, particularly with grooming as highly intimate topic","Peris and Maganto 2018, 'Sexting, Sextorsión y grooming: identificación y prevención'",,,,,,,
Online Grooming,Sextortion Measurement,"Sextortion is where the perpetrator threatens to release intimate images to family and the broader public unless the victim complies with their requests, often around obtaining more sexual imagery. Sextortion is distinct from online grooming, but also contains several overlaps. An evaluation might include metrics around sextortion as a way to grasp similar activities that participants may not consider to be online grooming. ",grooming-prevalence,Ecological,May provide a more expansive understanding of the scope of sexual exploitation of children online,"Slightly different dynamics from cybergrooming, so shouldn't be conflated with it directly","Kopecky 2017, 'Online blackmail of Czech children focused on so-called “sextortion”'",,,X,X,,,
Cyberbullying,Emotional and physical punishment by teachers,"Measures the frequency of parents’ emotional and physical punishment, such as name calling, negative comparisons to others, and hitting or attempting to hit.",cyberbullying-prevalence,Strain theory,,,"Moon, B., Hwang, H. W., & McCluskey, J. D. (2011). Causes of school bullying: Empirical test of a general theory of crime, differential association theory, and general strain theory. Crime & Delinquency, 57(6), 849-877.",,,X,X,,,
Online Grooming,Reduction of Barriers to Reporting,"There are several barriers preventing children from reporting. These include: Barriers from Within (e.g. internalized victim-blaming); Barriers in Relation to Others (e.g. power dynamics); and Barriers in Relation to the Social World (e.g. taboo of sexuality). To increase reporting, a programme might aim to measure and reduce these hurdles.",awareness-support,"Ecological, Empowerment, Nudge",Established hurdles that inhibit children from reporting acts of sexual exploitation,Requires secondary indicators to measure the extent of these barriers (pre) and whether they have been reduced (post),Collin-Vézina et al. 2015,,,,,,,
Online Grooming,Risk Factors for Cybergrooming,"Three risk factors for cybergrooming are being a girl, having a willingness to meet strangers offline, and being cyberbullied. Testing whether the latter two have decreased could be one way of evaluating a programme. ",literacy,"Ecological, strain",Widely cited factors associated with cybergrooming victimization,Requires secondary indicators to test (e.g. whether child has been cyberbullied),"Wachs, Wolf, and Pan 2012",,X,,,,,
Online Grooming,Action Taking Post Campaign,"Evaluative studies have asked whether participants (or their parents or caregivers) took action after a CSA awareness campaign, including 'talking to children', 'talking to friends/family', 'making an effort to be informed about CSA' or 'visiting a CSA education website'. ","awareness-support, online-norms","Ecological, Empowerment",Concrete actions that would be reasonably straightforward to measure,"These actions may raise awareness of CSA, but not result in behavioral change from child","Safer Scotland 2020, 'Child Sexual Exploitation Campaign Evaluation Report'",,,,,,,
Online Grooming,Pornography Prevalence on Platform,"Some studies suggest a link between pornography consumption and harmful or aggressive sexual behaviors. The consumption of porn (frequency, duration, etc) across a platform might therefore function as a 'proxy' indicator for child sexual exploitation and the effectiveness of a programme. ",grooming-prevalence,Ecological,Use of classifiers to detect porn on platforms well established ,Proxy indicator that must be combined with others to get a more precise picture,"McKibbin, Humphreys, and Hamilton 2017 'Young people who sexually abused reflect on preventing harmful sexual behavior', Taylor 2018 'Pornography as a Public Health Issue'",,,X,X,X,,
Online Grooming,Indecent Imagery across a Region or Country,"One form of child sexual exploitation is through indecent imagery which is circulated. Some countries maintain databases where law enforcement has identified these images and recorded them over time. This provides one metric, albeit high level, for evaluating sexual exploitation at a regional or national level. ",offline-norms,Ecological,An easy to understand metric that is clearly criminal and exploitative,"Very broad in encompassing a large population, causal factors difficult to determine","Bryce 2017, 'Exploitation through indecent images'",,,,,,,
Online Grooming,Ability to Recognize and Deflect Grooming Language,"While grooming is varied, there are certain tropes and language that reoccurs frequently. Studies have suggested roleplaying exercises that test the ability of participants to recognize and defend against these approaches.",literacy,Empowerment,Realistic in using phrases or strategies from 'real world' grooming scenarios,"Major ethical issues, especially if participants are children","Egan et al. 2011, 'Perverted justice: A content analysis of the language used by offenders detected attempting to solicit children for sex'",,X,X,,,,
Both,Platform Reports,"Measure the number of cyberbullying or grooming instances reported across a particular platform, pre and post intervention, or even longer if possible.",online-norms,,"Concrete statistic that can help ""round out"" other measures","Highly ambiguous, higher numbers could be due to more visible or accessible reporting mechanism, rather than increase in incidents","Facebook, Twitter, Riot Games 2014-2020",,,,,X,,
Online Grooming,Deceit and Bribery as Grooming Pathways,"Deceit, bribery and nonsexual communication are three strategies used by perpetrators of sexual exploitation. Deceit often takes the form of stating a younger age and impersonating others. Bribery are gifts such as a webcam sent to the victim. Allowing users to report when this occurs and tracking these figures over time could provide an evaluative indicator. ","grooming-prevalence, literacy",Empowerment,Deceit and bribery clear 'actions' as opposed to ambiguous nonsexual communication,"Requires reporting mechanisms, requires children to actively report","Gámez-Guadix et al. 2018, 'Persuasion strategies and sexual solicitations and interactions in online sexual grooming of adolescents'",,,,,,,
Online Grooming,Questionnaire for Online Sexual Solicitation and Interaction With Adults (QOSSIA),"A questionnaire to assess the online sexual solicitation and interactions of minors with adults - how often, what was the encounter, what was their age and gender, and so on. ",grooming-prevalence,"Ecological, Empowerment","Well understood form of self-reporting, straightforward to implement","Same biases as other self-reporting measures, including embarassment","Gámez-Guadix, Santisteban, Alcazar 2018",,,,,,,
Both,Campaign-Style Statistics,"Measures views, visits, number of messages shared, duration of session, and other statistics typically captured when deploying online marketing campaigns.",awareness-support,,"Concrete statistic that can demonstrate engagement and ""round out"" other measures",Tends to measure the popularity of the programme rather than providing indication of any behavioral change,"Spears et al. 2016 ""Safe and Well Online"" project",,,,,,,
Both,Spence Children's Anxiety Scale,"Widely used measure for anxiety, including ""social phobia, obsessive-compulsive disorder, panic disorder/agoraphobia, and other forms of anxiety.""","cyberbullying-impacts, grooming-impacts","Strain, Ecological",,,"Essau, CA; Muris, P; Ederer, EM (March 2002). ""Reliability and validity of the Spence Children's Anxiety Scale and the Screen for Child Anxiety Related Emotional Disorders in German children"". Journal of Behavior Therapy and Experimental Psychiatry. 33 (1): 1–18. doi:10.1016/S0005-7916(02)00005-8. PMID 12389796.",,,,,,,
Cyberbullying,Family conflict,"One of six indicators of strain suggested by Moon, Huang & McCluskey (2008), it ""measures the extent of experience of verbal/physical conflict among family members as well as verbal/physical conflict between a respondent and parents"".",relationships,Strain,,,"Moon, B., Hwang, H. W., & McCluskey, J. D. (2011). Causes of school bullying: Empirical test of a general theory of crime, differential association theory, and general strain theory. Crime & Delinquency, 57(6), 849-877.",,,X,X,,,
Cyberbullying,Emotional and physical punishment by parents,"Measures the frequency of parents' emotional and physical punishment, such as name calling, negative comparisons to others, and hitting or attempting to hit.",relationships,Strain,,,"Moon, B., Hwang, H. W., & McCluskey, J. D. (2011). Causes of school bullying: Empirical test of a general theory of crime, differential association theory, and general strain theory. Crime & Delinquency, 57(6), 849-877.",,,X,X,,,
Both,Teacher / Parent Interview,Interview conducted with parent or teacher regarding ability of a child to protect themselves online.,literacy,"Ecological, Empowerment",,,Keeping Children Safe Online,,X,,,,,
Cyberbullying,Examination-related stress,"Captures the degree to which young people feel stress related to studying for examinations and include ""I feel a lot of stress about studying"", ""I am not satisfied with my grade"", and ""My parents stress studying too much.""",relationships,Strain,,,"Moon, B., Hwang, H. W., & McCluskey, J. D. (2011). Causes of school bullying: Empirical test of a general theory of crime, differential association theory, and general strain theory. Crime & Delinquency, 57(6), 849-877.",,,,,,,
Cyberbullying,Loneliness and Parent-Child Communicatin,Adolescents who reported avoidant communication with their mother and loneliness had much higher risk of being cyberbullied. These can be assessed with the UCLA Loneliness Scale and the Parent-Child Communication scale. A programme might seek to improve these scores and therefore lessen the risk of cyberbullying victimization.,relationships,"Strain, Ecological, Empowerment",Brings in interpersonal and familial relationships to the understanding of cyberbullying victimization,Same weaknesses as other self-reporting measures in terms of requiring honest responses,"Larannaga et al. 2016, 'Loneliness, parent-child communication and cyberbullying victimization among Spanish youths'",,,,,,,
Online Grooming,Luring Communication: Access,"The first step in luring communication is gaining access to the victim. Measure the means and frequency of perpetrators gaining access (e.g. friend requests), either through self-reporting or platform analytics. ",awareness-support,"Empowerment, Strain","Narrow focus, crucial first step in online grooming pathways",Differentiating between giving access to perpetrators and giving access to friends/family is difficult,"Olson et al. 2007, ""Entrapping the Innocent: Toward a Theory of Child Sexual Predators' Luring Communication""",,,,,,,
Online Grooming,Cognitive and Socio-Emotional Esteem,One study found that physical attractiveness and disinhibition led to increased sexting (both erotic and pornographic) and higher likelihood of adolescents being groomed. It suggested that education programs should thus stress cognitive and socio-emotional esteem on top of body self-esteem. Measuring and increasing this could be a productive evaluation indicator.   ,self-esteem,"Strain, Empowerment",Holistic way of decreasing risk of online grooming,Self-esteem is a broad concept that may be difficult to accurately measure,"Schoeps et al. 2020, 'Risk factor for being a victim of online grooming in adolescents'",,,,,,,
Online Grooming,Luring Communication: Isolation,"A crucial step in luring communication is isolating the victim from friends, family, and support mechanisms. Measuring friend/family interactions over time, and ability to access support mechanisms (e.g. reporting) could provide a metric of isolation before and after a programme. ",relationships,"Empowerment, Strain",A sophisticated and more holistic metric that nicely supplements quantitative indicators,Tricky to define what isolation is and how it is measured ,"Olson et al. 2007, ""Entrapping the Innocent: Toward a Theory of Child Sexual Predators' Luring Communication""",,,,,,,
